name,brand,quantity,generic_name,image_url,categories,labels,allergens,nutriscore,nova_group,ecoscore,origins
Gelbe Erbsen mit Suppengrün,REWE,800g,Gemüse,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fruits-and-vegetables-based-foods|en:legumes-and-their-products|en:canned-foods|en:legumes|en:vegetables-based-foods|en:canned-plant-based-foods|en:vegetables|en:canned-vegetables|en:canned-legumes|en:green-peas|en:canned-peas,,,b,3,b,
Flammenkuchenteig,Aromica,,Suppe,,en:meals|en:soups,en:vegetarian|en:european-vegetarian-union|en:european-vegetarian-union-vegetarian|en:nutriscore,,d,,,
Mohnnudeln,iglo,500 g,Nudeln,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:pastas|de:mohnnudeln,en:green-dot,en:eggs|en:gluten,c,3,,
Schmelzkäseecken - sahnig,Hofburger,250g,Käse,,en:dairies|en:fermented-foods|en:fermented-milk-products|en:cheeses|en:kase,en:no-gmos|de:ohne-gentechnik,en:milk,e,4,d,
Bio-Kochschinken,Aldi,100g,Kochschinken,,en:meats-and-their-products|en:meats|en:prepared-meats|en:hams|en:white-hams,en:organic|en:eu-organic|en:non-eu-agriculture|de:eg-öko-verordnung|de:haltungsform|de:haltungsform-5-bio|en:de-oko-003|en:de-oko-060|en:eu-agriculture|en:eu-non-eu-agriculture|en:nutriscore|en:nutriscore-grade-c|de:atc,,c,4,d,
Feine Kuvertüre,Norma,200 g,Schokolade,https://images.openfoodfacts.org/images/products/20249410/7.400.jpg,en:snacks|en:sweet-snacks|en:cocoa-and-its-products|en:chocolates|de:kuvertüre,en:fair-trade|en:german-agricultural-society|en:gold-medal-of-the-german-agricultural-society,en:milk|en:soybeans,e,4,,
Leckermäulchen Milchquark - Erdbeer,Frischli,300 g (6 x 50g),Frischkäse,,en:dairies|en:fermented-foods|en:fermented-milk-products|en:cheeses|en:desserts|en:dairy-desserts|en:quarks|en:cream-cheeses,en:no-gluten|en:green-dot,en:milk,c,4,d,
Haferflocken Zart,Aldi,500 g,,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:breakfasts|en:cereals-and-potatoes|en:cereals-and-their-products|en:breakfast-cereals|en:flakes|en:cereal-flakes|en:extruded-flakes|en:rolled-flakes|en:rolled-oats,,en:gluten,a,1,a,
Cornstick,Mekkafood,300 g,,https://images.openfoodfacts.org/images/products/402/627/997/8006/1.400.jpg,en:breaded-products,en:halal,en:gluten,d,4,,
Mini Backkäse,Edeka,300 g,,https://images.openfoodfacts.org/images/products/431/150/168/6249/4.400.jpg,en:frozen-foods,,en:gluten|en:milk,d,4,,
Protein-Toastbrötchen,Sinnack,280g,Brot,https://images.openfoodfacts.org/images/products/400/909/701/0813/4.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:breads|en:toasts|en:toasted-bread-rolls,,en:eggs|en:gluten,a,4,a,
Petit Paris Brie Spitze,Fromka GmbH,200 g,Weichkäse,https://images.openfoodfacts.org/images/products/24120401/5.400.jpg,en:dairies|en:fermented-foods|en:fermented-milk-products|en:cheeses|en:soft-cheeses|en:cow-cheeses|en:soft-cheeses-with-bloomy-rind|en:french-cheeses|en:bries,en:no-gmos|de:ohne-gentechnik,en:milk,d,3,b,pl:francja
Teewurst Fein,Hofmaier,125 g,Aufstrich,https://images.openfoodfacts.org/images/products/431/626/862/9188/3.400.jpg,en:meats-and-their-products|en:spreads|en:meat-preparations|en:prepared-meats|en:meat-spreads|en:teewurst|en:teewurst-spreads,en:qs-certification-mark,,e,,,
Joghurt Crisp,Penny,175,Joghurt,,en:dairies|en:fermented-foods|en:fermented-milk-products|en:desserts|en:dairy-desserts|en:fermented-dairy-desserts|en:yogurts|en:joghurt-mit-musli,,,c,,b,
Knusper Frühstück Früchte,Bauck Hof,325 g,,https://images.openfoodfacts.org/images/products/401/563/782/3102/6.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:breakfasts|en:cereals-and-potatoes|en:cereals-and-their-products|en:breakfast-cereals|en:cereals-with-fruits|en:extruded-cereals,en:no-gluten|en:vegetarian|en:vegan|en:european-vegetarian-union|en:european-vegetarian-union-vegan|en:made-in-germany,,c,3,d,
Knusprige Waffelmischung,kaufland classic,400 g e,Waffeln,https://images.openfoodfacts.org/images/products/433/718/561/6785/1.400.jpg,en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:pastries|en:waffles,,,e,,b,
